Pose,Left Elbow Angle,Left Hip Angle,Left Knee Angle,Left Shoulder Angle,Right Elbow Angle,Right Hip Angle,Right Knee Angle,Right Shoulder Angle
Cat Cow Pose,177.69,111.51,92.86,71.63,156.84,119.67,90.5,62.14
Child,154.27,43.11,27.99,154.21,167.32,45.67,25.65,158.76
Cobra,159.1,155.06,162.22,55.17,167.34,141.75,164.75,39.58
Downward Facing Dog,156.6,83.27,157.32,163.65,156.41,96.19,166.05,150.61
Mountain,170.93,173.9,171.17,172.48,172.93,172.63,176.31,170.26
Seated Forward Bend,164.62,63.89,174.82,88.52,175.47,55.92,155.65,92.62
Tree,172.22,125.45,47.64,178.04,162.3,174.7,177.2,177.28
Triangle,179.54,142.58,175.46,127.32,153.49,54.2,164.68,84.82
Warrior I,174.84,118.9,87.56,174.86,174.84,141.51,144.08,125.25
Warrior II,174.87,147.76,169.9,70.42,177.3,108.93,103.7,102.21
